                       name                      |            domainFqdn             |       vcenterHost        |                    id                    | activated | autoDsMapping |     clientVersion      
-------------------------------------------------+-----------------------------------+--------------------------+------------------------------------------+-----------+---------------+------------------------
  vdc-a6-alc03-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 66d4b978392463cd157475d717b8db0373993c61 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc04-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | 1471d5f5960cb38eb289e1f8ae46ec396d1c92bd | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc05-proxy3-v19-4.vdc.adm              | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | 041ba687a9d7dcfa3dbe03beaaade0206ec3fb11 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc04-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | d84800df5f45f18d302ff0731211aa286ffc39fe | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc04-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 11b902fa75f704c13998dd0ff10bf244ae0fc48b | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc02-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | 997758ec3be5b76579be53ded0ff418e0373e85b | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc11-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres03.vdc.adm   | vdc-vcsalres03.vdc.adm   | db6e27504acbfde67e523f06a212a8fc030922af | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc01-proxy1-v19-4.vdc.adm              | /PROXIES/vdc-vcsjcmgt01.vdc.adm   | vdc-vcsjcmgt01.vdc.adm   | 891f1f11c19d3bd6c4cb7aa4ded902fdc14c70b9 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc08-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres03.vdc.adm   | vdc-vcsjcres03.vdc.adm   | 8a391da14f281133192d2e053c6271faa9627a44 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc03-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | 704bde4ab679a6fe41cf757aec59c19f26148a3f | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-saphanaalc02-proxy2-v19-4-btrfs.vdc.adm | /PROXIES/vdc-vcsalres04.vdc.adm   | vdc-vcsalres04.vdc.adm   | b504c1a3453f825f1659bb141d2abd112430d7b0 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc08-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | e022470ee2aa99d44dc1481d3b8d69daf208e971 | true      | true          | 19.4.100-116_HF327646  
